time	valores	x	y	optional
2	63	-9.8336111	-39.49555555	TRUE
3	70	-9.8336111	-39.49555555	TRUE
4	75	-9.8336111	-39.49555555	TRUE
5	73	-9.8336111	-39.49555555	TRUE
6	73	-9.8336111	-39.49555555	TRUE
7	71	-9.8336111	-39.49555555	TRUE
8	76	-9.8336111	-39.49555555	TRUE
9	78	-9.8336111	-39.49555555	TRUE
10	78	-9.8336111	-39.49555555	TRUE
11	74	-9.8336111	-39.49555555	TRUE
12	67	-9.8336111	-39.49555555	TRUE
13	57	-9.8336111	-39.49555555	TRUE
14	50	-9.8336111	-39.49555555	TRUE
15	40	-9.8336111	-39.49555555	TRUE
16	38	-9.8336111	-39.49555555	TRUE
17	32	-9.8336111	-39.49555555	TRUE
18	30	-9.8336111	-39.49555555	TRUE
19	30	-9.8336111	-39.49555555	TRUE
20	29	-9.8336111	-39.49555555	TRUE
21	33	-9.8336111	-39.49555555	TRUE
22	37	-9.8336111	-39.49555555	TRUE
23	43	-9.8336111	-39.49555555	TRUE
24	50	-9.8336111	-39.49555555	TRUE
1	47	-8.50305555	-39.31388888	TRUE
2	61	-8.50305555	-39.31388888	TRUE
3	68	-8.50305555	-39.31388888	TRUE
4	72	-8.50305555	-39.31388888	TRUE
5	73	-8.50305555	-39.31388888	TRUE
6	76	-8.50305555	-39.31388888	TRUE
7	78	-8.50305555	-39.31388888	TRUE
8	79	-8.50305555	-39.31388888	TRUE
9	80	-8.50305555	-39.31388888	TRUE
10	78	-8.50305555	-39.31388888	TRUE
11	74	-8.50305555	-39.31388888	TRUE
12	67	-8.50305555	-39.31388888	TRUE
13	63	-8.50305555	-39.31388888	TRUE
14	57	-8.50305555	-39.31388888	TRUE
15	52	-8.50305555	-39.31388888	TRUE
16	45	-8.50305555	-39.31388888	TRUE
17	40	-8.50305555	-39.31388888	TRUE
18	40	-8.50305555	-39.31388888	TRUE
19	39	-8.50305555	-39.31388888	TRUE
20	40	-8.50305555	-39.31388888	TRUE
21	41	-8.50305555	-39.31388888	TRUE
22	42	-8.50305555	-39.31388888	TRUE
23	44	-8.50305555	-39.31388888	TRUE
24	49	-8.50305555	-39.31388888	TRUE
1	36	-10.72305554	-43.65111111	TRUE
2	36	-10.72305554	-43.65111111	TRUE
3	38	-10.72305554	-43.65111111	TRUE
4	41	-10.72305554	-43.65111111	TRUE
5	45	-10.72305554	-43.65111111	TRUE
6	52	-10.72305554	-43.65111111	TRUE
7	59	-10.72305554	-43.65111111	TRUE
8	63	-10.72305554	-43.65111111	TRUE
9	66	-10.72305554	-43.65111111	TRUE
10	67	-10.72305554	-43.65111111	TRUE
11	62	-10.72305554	-43.65111111	TRUE
12	56	-10.72305554	-43.65111111	TRUE
13	51	-10.72305554	-43.65111111	TRUE
14	44	-10.72305554	-43.65111111	TRUE
15	39	-10.72305554	-43.65111111	TRUE
16	35	-10.72305554	-43.65111111	TRUE
17	33	-10.72305554	-43.65111111	TRUE
18	31	-10.72305554	-43.65111111	TRUE
19	30	-10.72305554	-43.65111111	TRUE
20	27	-10.72305554	-43.65111111	TRUE
21	27	-10.72305554	-43.65111111	TRUE
22	29	-10.72305554	-43.65111111	TRUE
23	32	-10.72305554	-43.65111111	TRUE
24	34	-10.72305554	-43.65111111	TRUE
1	67	-10.95027777	-37.05	TRUE
2	67	-10.95027777	-37.05	TRUE
3	67	-10.95027777	-37.05	TRUE
4	67	-10.95027777	-37.05	TRUE
5	64	-10.95027777	-37.05	TRUE
6	67	-10.95027777	-37.05	TRUE
7	65	-10.95027777	-37.05	TRUE
8	66	-10.95027777	-37.05	TRUE
9	67	-10.95027777	-37.05	TRUE
10	65	-10.95027777	-37.05	TRUE
11	61	-10.95027777	-37.05	TRUE
12	58	-10.95027777	-37.05	TRUE
13	59	-10.95027777	-37.05	TRUE
14	55	-10.95027777	-37.05	TRUE
15	54	-10.95027777	-37.05	TRUE
16	55	-10.95027777	-37.05	TRUE
17	55	-10.95027777	-37.05	TRUE
18	52	-10.95027777	-37.05	TRUE
19	58	-10.95027777	-37.05	TRUE
20	57	-10.95027777	-37.05	TRUE
21	61	-10.95027777	-37.05	TRUE
22	64	-10.95027777	-37.05	TRUE
23	64	-10.95027777	-37.05	TRUE
24	65	-10.95027777	-37.05	TRUE
1	75	-5.9	-35.2	TRUE
2	76	-5.9	-35.2	TRUE
3	77	-5.9	-35.2	TRUE
4	76	-5.9	-35.2	TRUE
5	75	-5.9	-35.2	TRUE
6	76	-5.9	-35.2	TRUE
7	77	-5.9	-35.2	TRUE
8	75	-5.9	-35.2	TRUE
9	76	-5.9	-35.2	TRUE
10	76	-5.9	-35.2	TRUE
11	68	-5.9	-35.2	TRUE
12	67	-5.9	-35.2	TRUE
13	66	-5.9	-35.2	TRUE
14	67	-5.9	-35.2	TRUE
15	51	-5.9	-35.2	TRUE
16	58	-5.9	-35.2	TRUE
17	54	-5.9	-35.2	TRUE
18	54	-5.9	-35.2	TRUE
19	63	-5.9	-35.2	TRUE
20	66	-5.9	-35.2	TRUE
21	69	-5.9	-35.2	TRUE
22	69	-5.9	-35.2	TRUE
23	72	-5.9	-35.2	TRUE
24	73	-5.9	-35.2	TRUE
1	84	-8.66638888	-35.56805554	TRUE
2	86	-8.66638888	-35.56805554	TRUE
3	87	-8.66638888	-35.56805554	TRUE
4	90	-8.66638888	-35.56805554	TRUE
5	89	-8.66638888	-35.56805554	TRUE
6	90	-8.66638888	-35.56805554	TRUE
7	92	-8.66638888	-35.56805554	TRUE
8	92	-8.66638888	-35.56805554	TRUE
9	92	-8.66638888	-35.56805554	TRUE
10	93	-8.66638888	-35.56805554	TRUE
11	83	-8.66638888	-35.56805554	TRUE
12	70	-8.66638888	-35.56805554	TRUE
13	50	-8.66638888	-35.56805554	TRUE
14	51	-8.66638888	-35.56805554	TRUE
15	55	-8.66638888	-35.56805554	TRUE
16	46	-8.66638888	-35.56805554	TRUE
17	46	-8.66638888	-35.56805554	TRUE
18	52	-8.66638888	-35.56805554	TRUE
19	54	-8.66638888	-35.56805554	TRUE
20	57	-8.66638888	-35.56805554	TRUE
21	63	-8.66638888	-35.56805554	TRUE
22	71	-8.66638888	-35.56805554	TRUE
